Name,Phenylalanine,Protein,Carbohydrates,Total_fat,Calories,Home_measure,Home_phenylalanine,Home_weight,Category,Color
Žolelės ir prieskoniai,200,10,0,0,0,-,0,0,Žolelės ir prieskoniai,Geltona
Barbekiu padažas,16,0.8,48,0,198,-,0,0,Padažas,Geltona
Pomidorų kečupas,22,1.1,18,0,80,-,0,0,Padažas,Geltona
Pomidorų pasta,66,3.3,19.9,0.4,101,-,0,0,Padažas,Geltona
Garstyčios,138,6.9,18,5.5,156,-,0,0,Padažas,Raudona
Krienai,36,1.8,15.3,9.1,154,-,0,0,Padažas,Geltona
Raudonieji krienai,30,1.5,12,4.5,98,-,0,0,Padažas,Geltona
Pesto padažas,48,2.4,2.4,39,378,-,0,0,Padažas,Geltona
Salotų padažas su alyvuogių aliejumi,2,0.1,13,1,63,-,0,0,Padažas,Žalia
Sojų padažas,56,2.8,15.1,0.01,72,-,0,0,Padažas,Geltona
Žaliosios citrinos,10,0.5,4.6,0.5,18,-,0,0,Vaisiai,Geltona
Šilauogės,14,0.7,11.5,0.3,44,-,0,0,Vaisiai,Geltona
Žalieji smidrai,44,2.2,3.9,0.1,20,-,0,0,Daržovė,Geltona
Raudonosios aitriosios paprikos,38,1.9,8.8,0.4,40,-,0,0,Daržovė,Geltona
Loprofin miltai,6.2,0.31,87.4,0.42,361,-,0,0,Kompensuojami produktai,Geltona
Loprofin ryžiai,14,0.4,88.1,1.1,365,-,0,0,Kompenjuojami produktai,Geltona
Loprofin spagečiai,10,0.5,87.4,1.2,365,-,0,0,Kompensuojami produktai,Geltona
Loprofin Fusilli makaronai,18,0.5,87.5,1.2,365,-,0,0,Kompensuojami produktai,Geltona
Milupa lp-drink pieno milteliai,10,0.5,6,3,53,-,0,0,Kompensuojami produktai,Geltona
Loprofin sausi pusryčiai,6.4,0.32,83.5,1.07,359,-,0,0,Kompensuojami produktai,Geltona
BEZGLUTEN universalus PKU miltų mišinys,9,0.3,85,0.2,343,-,0,0,Kompensuojami produktai,Geltona
BEZGLUTEN kiaušinio pakaitalas PKU,9,0.3,88,0.6,362,-,0,0,Kompensuojami produktai,Geltona
